"","team","experience","salary","points3","points2","free_throws","off_rebounds","def_rebounds","assists","steals","blocks","turnovers","fouls","efficiency","points_total"
"1","ATL",93,90.89,626,2254,1373,807,2537,1784,601,354,1136,1329,140.326904553955,4253
"2","BOS",63,91.92,985,2183,1536,744,2698,2069,617,341,1037,1686,148.252470272361,4704
"3","BRK",52,65.45,738,1950,1381,608,2546,1593,547,372,1152,1522,147.782342770054,4069
"4","CHI",58,92.08,565,2162,1330,865,2416,1746,605,339,952,1275,139.102496836529,4057
"5","CHO",66,100.25,808,2102,1499,634,2636,1805,550,320,827,1198,145.29938208691,4409
"6","CLE",128,125.79,1012,2107,1355,727,2639,1760,475,299,1005,1318,177.858513810418,4474
"7","DAL",62,92.1,754,1803,1042,534,2109,1291,538,266,703,1280,148.224302145159,3599
"8","DEN",74,78.38,868,2347,1471,867,2646,2009,538,285,1097,1458,167.359480606341,4686
"9","DET",55,103.07,631,2638,1140,908,2838,1731,574,310,932,1467,136.376242247855,4409
"10","GSW",101,98.69,982,2540,1447,759,2854,2475,779,551,1171,1565,172.391638919092,4969
"11","HOU",56,84.66,1141,1769,1508,766,2429,1906,564,292,1046,1314,155.103145868701,4418
"12","IND",84,84.57,641,2331,1333,679,2436,1713,612,391,996,1490,135.069716171602,4305
"13","LAC",124,114.78,841,2401,1586,740,2790,1848,613,349,1024,1626,147.124188717853,4828
"14","LAL",66,86.27,592,2249,1080,909,2462,1430,593,307,1028,1593,143.976774778222,3921
"15","MEM",83,108.34,750,2140,1465,866,2534,1669,612,329,973,1748,140.970732851105,4355
"16","MIA",63,72.78,799,2349,1217,857,2649,1728,577,464,1019,1647,151.990179644907,4365
"17","MIL",64,90.27,718,2424,1388,700,2541,1953,651,422,1064,1601,153.258820555381,4530
"18","MIN",48,59.38,601,2623,1585,938,2530,1934,652,370,1095,1644,144.838327876467,4809
"19","NOP",55,90.63,513,1952,1120,580,2244,1523,497,380,823,1164,164.25214899256,3585
"20","NYK",59,97.01,636,2445,1262,961,2591,1499,526,451,975,1584,143.903330250407,4343
"21","OKC",55,86.98,611,2380,1511,936,2628,1610,595,394,1133,1561,146.868029100158,4502
"22","ORL",57,102.41,614,2168,1230,699,2435,1744,544,302,978,1432,125.140617170448,4012
"23","PHI",34,55.78,690,1917,1212,673,2282,1788,599,369,1184,1516,164.091582443122,3819
"24","PHO",68,72.53,564,2551,1605,882,2456,1530,587,385,1171,1886,144.306519382427,4720
"25","POR",43,103.03,852,2156,1386,710,2437,1519,524,345,988,1587,143.732051577965,4394
"26","SAC",68,88.19,558,1838,998,524,1878,1394,503,234,847,1302,148.395366577345,3394
"27","SAS",99,104.69,743,2459,1431,821,2768,1926,650,485,1038,1479,146.623646218054,4633
"28","TOR",57,108.46,626,2359,1570,848,2533,1469,621,379,933,1609,158.765798461565,4555
"29","UTA",71,80.32,791,2242,1401,771,2774,1651,550,410,1061,1545,145.819348274774,4434
"30","WAS",56,98.78,671,2417,1316,748,2393,1861,605,314,1017,1465,143.011692087198,4404
